 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,image.tiff:0325-0008,214,115.416,24.744,98,87,210,8.000,325.103,7.570,324.835,54.450,0,317,17,16,18.869,14.440,37.640,0.907,20.000,24699,104,1.323,1.277,0,24699,1,0,332,36.870,15.209,1.307,0.765,0.945
2,image.tiff:0345-0022,150,108.953,12.288,100,91,148,22.487,345.347,22.316,345.499,45.459,15,339,15,13,15.598,12.244,148.364,0.912,17.000,16343,106,1.361,-4.307,0,16343,1,15,341,151.928,12.728,1.274,0.785,0.938
3,image.tiff:0335-0039,150,107.780,7.910,102,92,128,39.320,334.853,39.239,334.825,45.101,33,328,13,14,14.629,13.055,117.573,0.927,16.125,16167,107,-1.141,26.026,0,16167,1,35,328,119.745,13.000,1.121,0.892,0.940
4,image.tiff:0351-0045,126,95.762,8.557,90,82,131,45.952,350.460,45.956,350.293,41.562,39,345,13,12,14.056,11.413,156.298,0.917,15.264,12066,95,1.924,-1.870,0,12066,1,39,347,148.392,12.000,1.232,0.812,0.940
5,image.tiff:0363-0059,237,94.932,6.031,92,81,121,59.238,362.981,59.216,363.002,59.066,51,353,16,20,22.464,13.433,120.044,0.854,23.854,22499,94,5.766,-97.478,0,22499,1,53,353,123.024,14.760,1.672,0.598,0.937
6,image.tiff:0368-0038,266,106.034,8.127,98,91,133,37.662,368.346,37.881,368.463,62.217,28,359,20,18,23.282,14.547,140.130,0.864,25.000,28205,105,1.388,-13.373,0,28205,1,28,361,143.130,15.556,1.600,0.625,0.945
7,image.tiff:0388-0014,303,113.198,15.665,107,94,179,14.708,387.936,14.472,387.668,71.801,5,375,19,26,29.241,13.193,120.641,0.739,30.017,34299,107,1.537,3.499,0,34299,1,8,375,119.982,13.886,2.216,0.451,0.920
8,image.tiff:0398-0031,163,101.012,7.548,96,87,132,30.825,398.420,30.802,398.554,50.183,24,390,14,17,19.560,10.611,125.652,0.813,20.248,16465,100,3.241,-25.935,0,16465,1,25,390,122.905,11.721,1.843,0.542,0.918
9,image.tiff:0419-0038,268,103.821,7.394,104,90,131,38.541,419.220,38.558,419.201,65.153,32,406,13,26,26.325,12.962,98.022,0.793,26.476,27824,104,-0.086,11.064,0,27824,1,36,406,100.886,13.000,2.031,0.492,0.949
10,image.tiff:0419-0017,298,107.477,11.308,99,88,139,17.121,418.604,16.869,418.682,64.447,9,408,17,22,22.454,16.898,86.524,0.902,23.087,32028,106,0.758,-2.541,0,32028,1,13,408,107.650,17.000,1.329,0.753,0.949
